id,Gender,Country,Age,Height,Income
1,Male,Wales,32,185.5405238620379,48852
2,Female,England,42,159.5677562270387,26270
3,Male,England,42,185.43795321935664,120709
4,Male,Wales,38,157.41295751866528,22648
5,Male,Scotland,40,170.9750725982091,13768
6,Female,Wales,41,167.2572041132826,30829
7,Male,Wales,40,187.70780873846388,18873
8,Female,Wales,39,166.13586144688722,19478
9,Male,Scotland,19,194.6228789302452,11979
10,Male,England,41,174.47129974686578,25198
11,Male,Wales,51,168.58698974150917,17112
12,Male,Wales,44,176.05145915311525,20240
13,Male,Scotland,50,180.5004753956519,26769
14,Female,Wales,31,158.50785982918316,22137
15,Female,England,40,150.95151204614893,17197
16,Female,Scotland,49,163.1919799797319,30422
17,Male,England,45,157.43321997822898,17833
18,Female,Wales,42,186.72354701752522,20932
19,Male,Wales,37,172.02340678116025,62615
20,Male,England,43,183.24510350712944,21835
21,Male,Scotland,37,176.9741796812634,19510
22,Female,Wales,35,146.71602988014493,24440
23,Male,Wales,34,183.59827383692615,21186
24,Female,Wales,39,171.11882016991657,18121
25,Female,England,46,179.35870326629467,43607
26,Male,England,42,198.628645686618,24448
27,Female,Wales,50,155.52998267595524,35247
28,Male,England,45,165.79287254256408,23022
29,Female,Wales,42,171.7617604576294,11971
30,Female,England,45,165.71412644755065,27166
31,Male,Scotland,28,170.41106239278568,43411
32,Female,Wales,30,173.83638482959856,78864
33,Male,Wales,45,160.8994116928469,20292
34,Male,Wales,25,171.51626565508175,44202
35,Female,England,29,163.22433706501346,22951
36,Male,Wales,27,191.36250459083897,18519
37,Female,Wales,30,159.30379640704072,12174
38,Male,Scotland,47,190.03189945457942,19916
39,Female,Scotland,40,155.98528949027664,61460
40,Female,Wales,47,164.01240354110774,42270
41,Male,England,33,177.5270154936624,14176
42,Female,Scotland,43,157.83000416582004,14182
43,Female,England,34,163.33981242457367,19975
44,Female,Scotland,41,162.63129191920544,16994
45,Female,Scotland,38,173.12429854266279,28206
46,Male,England,40,189.7081992421224,40077
47,Male,Scotland,33,180.43146853237332,25090
48,Female,Scotland,38,171.69924495768686,32619
49,Female,Wales,41,181.33401911095203,10642
50,Male,England,43,178.8001683417164,12266
51,Female,England,35,161.49104368638723,34396
52,Male,Scotland,45,171.47479804743568,12431
53,Male,Wales,37,167.3360240080841,13581
54,Male,England,27,192.00354800801762,17000
55,Female,Scotland,29,159.63389306639098,15231
56,Male,England,42,193.16693956239504,29955
57,Female,Scotland,44,165.9885440409034,12481
58,Female,England,36,161.6770270757588,42598
59,Female,Wales,48,185.1374517605796,27709
60,Female,Wales,44,162.8338283048055,16893
61,Female,Scotland,48,144.52114865996816,21025
62,Male,Wales,33,160.9705156840531,21692
63,Female,Wales,46,166.39294441099906,35848
64,Male,Scotland,33,186.97774352685104,17026
65,Male,Scotland,30,186.25959161266644,53580
66,Female,Wales,47,172.12894906414155,16901
67,Female,Scotland,34,169.29852825922282,31801
68,Male,England,30,172.12090153626818,11044
69,Female,Wales,34,164.3534389628122,33307
70,Male,England,61,148.82553084492972,56930
71,Female,Wales,46,155.6427589626351,25371
72,Male,Scotland,41,178.50524665186265,26363
73,Female,England,38,177.82211363491461,11562
74,Female,Scotland,29,161.60843257259646,11320
75,Female,Wales,39,177.38970164643288,12320
76,Female,Scotland,39,169.74157585995943,15352
77,Male,Scotland,39,157.51182959964905,27313
78,Female,Wales,34,169.98683453491884,20366
79,Female,England,35,174.824021394415,19209
80,Female,Scotland,42,159.2582912963191,41992
81,Female,England,31,155.96701820798359,25598
82,Male,Wales,42,184.6269797050792,27130
83,Male,Scotland,61,184.18043038763795,53781
84,Female,Scotland,40,162.65306911286362,27326
85,Male,England,38,188.89969418121316,18915
86,Female,Scotland,43,183.6448379377049,16910
87,Male,England,42,178.26498037493334,18850
88,Male,England,35,182.90986950076305,13461
89,Male,Scotland,44,182.86058892226157,16867
90,Female,Scotland,36,156.98374703129602,29547
91,Male,Scotland,32,189.42758817498802,49186
92,Female,Wales,47,146.0285366407647,17125
93,Male,England,41,171.2240230756782,12469
94,Female,England,38,160.30635503926706,27533
95,Female,Wales,35,158.68000745243657,13246
96,Male,England,28,165.4630788111838,16032
97,Female,Scotland,41,164.63482531439925,27821
98,Female,Scotland,41,171.84705348901963,10880
99,Male,Scotland,37,182.21227963393548,10742
100,Female,Scotland,46,156.61112014244014,139052
101,Male,Wales,36,179.58095941091318,36068
102,Female,Scotland,51,168.42812973313048,46611
103,Female,England,47,189.41780594829584,11972
104,Female,England,40,173.08954743239414,19491
105,Male,Scotland,53,174.72048044912447,26946
106,Female,Scotland,44,159.95872727782793,25344
107,Female,Scotland,30,163.50783858316566,10450
108,Female,Wales,38,170.561560161988,20532
109,Male,England,40,187.9275803300772,28406
110,Female,Wales,33,145.3386609455604,19786
111,Female,Wales,46,171.7292003478031,21325
112,Female,Scotland,41,170.50270762181137,28051
113,Male,Wales,44,182.71961104114283,37441
114,Male,England,43,178.9707302465138,14504
115,Female,Scotland,53,178.4168304108771,27937
116,Male,Wales,32,197.17326027884693,69436
117,Male,Wales,42,168.6217888227997,37266
118,Female,England,46,151.66662595865628,11076
119,Male,Wales,37,188.582746629449,25262
120,Female,Wales,45,149.5089647020202,34200
121,Female,Wales,44,173.83096465743435,22261
122,Male,Scotland,33,188.7014636588521,47142
123,Female,England,38,176.17742294792288,16252
124,Male,Wales,23,183.95083973875572,13694
125,Male,England,39,177.30796752326523,127302
126,Male,Scotland,36,168.82882266316676,13270
127,Female,Wales,37,170.61212326021746,29539
128,Female,England,39,156.0506042127566,17410
129,Female,Scotland,42,164.1746575492079,18126
130,Female,England,54,168.6555954535909,23809
131,Female,Scotland,41,183.54189864944536,14551
132,Male,Scotland,46,190.89852662168343,11213
133,Female,England,38,150.83096863826435,40220
134,Male,Scotland,40,185.67415153380358,15094
135,Female,Scotland,38,154.46477318463738,17599
136,Male,England,52,153.9342131255958,27410
137,Female,Scotland,55,149.47649409047327,16882
138,Female,Scotland,26,169.88450137576714,13867
139,Female,Scotland,49,166.17148706526058,15992
140,Male,Scotland,43,175.71815555781,40567
141,Male,Scotland,27,177.2715432348073,160809
142,Male,Wales,39,186.69063738652667,15641
143,Female,England,36,153.80859470532783,59535
144,Male,Scotland,40,174.74332957690464,17235
145,Male,England,41,185.20297924187744,43886
146,Male,Scotland,42,186.08914471442503,27651
147,Female,Wales,25,167.43770324520014,18456
148,Male,Wales,37,168.32247159435101,13373
149,Female,England,41,171.87097820658232,35478
150,Male,Wales,43,153.63323556803195,16937
151,Male,Wales,32,166.82014407501646,39951
152,Male,England,40,172.7261638266624,17938
153,Male,England,38,178.49285133987516,70112
154,Female,Scotland,37,155.07212894377489,15454
155,Male,England,37,178.99422484596644,31561
156,Female,England,34,153.44429230741437,17075
157,Female,Scotland,32,166.89068926420148,19848
158,Female,Wales,30,155.0630053506332,25864
159,Male,England,32,166.88192227167107,42181
160,Female,Scotland,34,163.6420450970872,14924
161,Male,Scotland,31,187.3958437912468,21288
162,Female,Scotland,38,160.8680386103043,16661
163,Female,Wales,48,172.47301371862355,9939
164,Male,Wales,30,163.97617866082325,26484
165,Female,England,42,146.58977563480823,81524
166,Male,England,32,183.74989435741963,31995
167,Female,Wales,49,172.250259280956,25880
168,Male,Wales,45,175.12657315235577,66633
169,Female,England,29,158.13875904206148,21560
170,Male,Wales,41,182.3496640475043,23672
