id,Gender,Country,Age,Height,Income
1,Male,Wales,32,185.42000000000002,48852
2,Female,England,42,160.02,26270
3,Male,England,42,185.42000000000002,120709
4,Male,Wales,38,157.48,22648
5,Male,Scotland,40,170.18,13768
6,Female,Wales,41,167.64000000000001,30829
7,Male,Wales,40,187.96,18873
8,Female,Wales,39,165.1,19478
9,Male,Scotland,19,195.58,11979
10,Male,England,41,175.26,25198
11,Male,Wales,51,167.64000000000001,17112
12,Male,Wales,44,175.26,20240
13,Male,Scotland,50,180.34,26769
14,Female,Wales,31,157.48,22137
15,Female,England,40,149.86,17197
16,Female,Scotland,49,162.56,30422
17,Male,England,45,157.48,17833
18,Female,Wales,42,187.96,20932
19,Male,Wales,37,172.72,62615
20,Male,England,43,182.88,21835
21,Male,Scotland,37,177.8,19510
22,Female,Wales,35,147.32,24440
23,Male,Wales,34,182.88,21186
24,Female,Wales,39,170.18,18121
25,Female,England,46,180.34,43607
26,Male,England,42,198.12,24448
27,Female,Wales,50,154.94,35247
28,Male,England,45,165.1,23022
29,Female,Wales,42,172.72,11971
30,Female,England,45,165.1,27166
31,Male,Scotland,28,170.18,43411
32,Female,Wales,30,172.72,78864
33,Male,Wales,45,160.02,20292
34,Male,Wales,25,172.72,44202
35,Female,England,29,162.56,22951
36,Male,Wales,27,190.5,18519
37,Female,Wales,30,160.02,12174
38,Male,Scotland,47,190.5,19916
39,Female,Scotland,40,154.94,61460
40,Female,Wales,47,165.1,42270
41,Male,England,33,177.8,14176
42,Female,Scotland,43,157.48,14182
43,Female,England,34,162.56,19975
44,Female,Scotland,41,162.56,16994
45,Female,Scotland,38,172.72,28206
46,Male,England,40,190.5,40077
47,Male,Scotland,33,180.34,25090
48,Female,Scotland,38,172.72,32619
49,Female,Wales,41,180.34,10642
50,Male,England,43,177.8,12266
51,Female,England,35,162.56,34396
52,Male,Scotland,45,172.72,12431
53,Male,Wales,37,167.64000000000001,13581
54,Male,England,27,193.04,17000
55,Female,Scotland,29,160.02,15231
56,Male,England,42,193.04,29955
57,Female,Scotland,44,165.1,12481
58,Female,England,36,162.56,42598
59,Female,Wales,48,185.42000000000002,27709
60,Female,Wales,44,162.56,16893
61,Female,Scotland,48,144.78,21025
62,Male,Wales,33,160.02,21692
63,Female,Wales,46,167.64000000000001,35848
64,Male,Scotland,33,187.96,17026
65,Male,Scotland,30,185.42000000000002,53580
66,Female,Wales,47,172.72,16901
67,Female,Scotland,34,170.18,31801
68,Male,England,30,172.72,11044
69,Female,Wales,34,165.1,33307
70,Male,England,61,149.86,56930
71,Female,Wales,46,154.94,25371
72,Male,Scotland,41,177.8,26363
73,Female,England,38,177.8,11562
74,Female,Scotland,29,162.56,11320
75,Female,Wales,39,177.8,12320
76,Female,Scotland,39,170.18,15352
77,Male,Scotland,39,157.48,27313
78,Female,Wales,34,170.18,20366
79,Female,England,35,175.26,19209
80,Female,Scotland,42,160.02,41992
81,Female,England,31,154.94,25598
82,Male,Wales,42,185.42000000000002,27130
83,Male,Scotland,61,185.42000000000002,53781
84,Female,Scotland,40,162.56,27326
85,Male,England,38,187.96,18915
86,Female,Scotland,43,182.88,16910
87,Male,England,42,177.8,18850
88,Male,England,35,182.88,13461
89,Male,Scotland,44,182.88,16867
90,Female,Scotland,36,157.48,29547
91,Male,Scotland,32,190.5,49186
92,Female,Wales,47,144.78,17125
93,Male,England,41,170.18,12469
94,Female,England,38,160.02,27533
95,Female,Wales,35,157.48,13246
96,Male,England,28,165.1,16032
97,Female,Scotland,41,165.1,27821
98,Female,Scotland,41,172.72,10880
99,Male,Scotland,37,182.88,10742
100,Female,Scotland,46,157.48,139052
101,Male,Wales,36,180.34,36068
102,Female,Scotland,51,167.64000000000001,46611
103,Female,England,47,190.5,11972
104,Female,England,40,172.72,19491
105,Male,Scotland,53,175.26,26946
106,Female,Scotland,44,160.02,25344
107,Female,Scotland,30,162.56,10450
108,Female,Wales,38,170.18,20532
109,Male,England,40,187.96,28406
110,Female,Wales,33,144.78,19786
111,Female,Wales,46,172.72,21325
112,Female,Scotland,41,170.18,28051
113,Male,Wales,44,182.88,37441
114,Male,England,43,177.8,14504
115,Female,Scotland,53,177.8,27937
116,Male,Wales,32,198.12,69436
117,Male,Wales,42,167.64000000000001,37266
118,Female,England,46,152.4,11076
119,Male,Wales,37,187.96,25262
120,Female,Wales,45,149.86,34200
121,Female,Wales,44,172.72,22261
122,Male,Scotland,33,187.96,47142
123,Female,England,38,175.26,16252
124,Male,Wales,23,182.88,13694
125,Male,England,39,177.8,127302
126,Male,Scotland,36,167.64000000000001,13270
127,Female,Wales,37,170.18,29539
128,Female,England,39,154.94,17410
129,Female,Scotland,42,165.1,18126
130,Female,England,54,167.64000000000001,23809
131,Female,Scotland,41,182.88,14551
132,Male,Scotland,46,190.5,11213
133,Female,England,38,149.86,40220
134,Male,Scotland,40,185.42000000000002,15094
135,Female,Scotland,38,154.94,17599
136,Male,England,52,154.94,27410
137,Female,Scotland,55,149.86,16882
138,Female,Scotland,26,170.18,13867
139,Female,Scotland,49,165.1,15992
140,Male,Scotland,43,175.26,40567
141,Male,Scotland,27,177.8,160809
142,Male,Wales,39,187.96,15641
143,Female,England,36,154.94,59535
144,Male,Scotland,40,175.26,17235
145,Male,England,41,185.42000000000002,43886
146,Male,Scotland,42,185.42000000000002,27651
147,Female,Wales,25,167.64000000000001,18456
148,Male,Wales,37,167.64000000000001,13373
149,Female,England,41,172.72,35478
150,Male,Wales,43,152.4,16937
151,Male,Wales,32,167.64000000000001,39951
152,Male,England,40,172.72,17938
153,Male,England,38,177.8,70112
154,Female,Scotland,37,154.94,15454
155,Male,England,37,177.8,31561
156,Female,England,34,152.4,17075
157,Female,Scotland,32,167.64000000000001,19848
158,Female,Wales,30,154.94,25864
159,Male,England,32,167.64000000000001,42181
160,Female,Scotland,34,162.56,14924
161,Male,Scotland,31,187.96,21288
162,Female,Scotland,38,160.02,16661
163,Female,Wales,48,172.72,9939
164,Male,Wales,30,165.1,26484
165,Female,England,42,147.32,81524
166,Male,England,32,182.88,31995
167,Female,Wales,49,172.72,25880
168,Male,Wales,45,175.26,66633
169,Female,England,29,157.48,21560
170,Male,Wales,41,182.88,23672
171,Male,Wales,38,170.18,88464
172,Female,Wales,51,180.34,53666
173,Male,Wales,41,193.04,73164
174,Female,Wales,54,160.02,20171
175,Female,England,34,182.88,19411
176,Male,Wales,47,180.34,13206
177,Male,England,47,165.1,12698
178,Male,Wales,38,160.02,26189
179,Male,England,41,195.58,23327
180,Female,Wales,44,175.26,21026
181,Male,England,44,162.56,33316
182,Male,Wales,44,170.18,24749
183,Female,Wales,38,170.18,67967
184,Male,England,29,167.64000000000001,13262
185,Male,England,38,165.1,11966
186,Male,England,28,187.96,13911
187,Female,Wales,46,162.56,18081
188,Female,England,31,172.72,12452
189,Male,Wales,34,170.18,25293
190,Male,England,38,175.26,28142
191,Female,Scotland,47,165.1,38847
192,Male,England,46,162.56,32547
193,Female,England,42,165.1,25676
194,Male,England,33,175.26,79066
195,Male,Wales,37,175.26,12605
